"slide","topics","work_sheets"
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Copy_propagation",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Ford_Focus",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Reverse_engineering",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Graph_theory",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Code_coverage",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Americans_with_Disabilities_Act_of_1990",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Algorithm",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Unified_Modeling_Language",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Software_testing",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/String_theory",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Construction",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Object-oriented_programming",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/IBM_Rational_Rose_XDE",
